# name	phase	tags	trigger	path
naming-convention	-	system	Establish naming rules for components, tokens, and layers with patterns and worked examples	library/designer/naming-convention/SKILL.md
navigation-patterns	-	layout,copy	Select and design a navigation pattern — tabs, drawer, hierarchy, or hub — matched to product structure and us…	library/designer/navigation-patterns/SKILL.md
nested-container-clean-agency	-	color,style	Create a clean agency design system built from nested containers, with an outer editorial shell, inset dark fe…	library/mengto/nested-container-clean-agency/SKILL.md
nested-container-frames	-	layout,perf,game	Create a container-in-container layout system using nested frames	library/mengto/nested-container-frames/SKILL.md
north-star-vision	-	review	Articulate a long-horizon product vision that aligns teams and anchors strategy	library/designer/north-star-vision/SKILL.md
number-details	-	misc	Add decorative 01, 02, 03 numeric detail markers.	library/mengto/number-details/SKILL.md
onboarding-design	-	misc	Design the first-run experience — activation path, progressive disclosure, and time to first value	library/designer/onboarding-design/SKILL.md
operational-enterprise-ai	-	layout,review,landing	Create or redesign enterprise AI, automation, security, and operations product pages that explain system bound…	library/mengto/operational-enterprise-ai/SKILL.md
opportunity-framework	-	perf	Identify, score, and prioritise design opportunities against impact and effort	library/designer/opportunity-framework/SKILL.md
orange-clean-paper-saas	-	style	Create a clean paper-toned SaaS design system with warm neutrals, orange accent signals, rounded premium forms…	library/mengto/orange-clean-paper-saas/SKILL.md
pattern-library	-	misc	Structure a pattern entry — problem context, solution, usage examples, and related patterns	library/designer/pattern-library/SKILL.md
peak-end-rule	-	misc	Apply the Peak-End Rule — a flow is remembered by its most intense moment and its last	library/designer/peak-end-rule/SKILL.md
performance-profiling	-	type,perf	Guide performance profiling for Apple platform apps with Instruments, Xcode diagnostics, and MetricKit	library/mengto/performance-profiling/SKILL.md
platform-conventions	-	layout	Design to iOS and Android conventions — what each OS mandates, where they diverge, and when to unify	library/designer/platform-conventions/SKILL.md
pointer-trail-emitter	-	motion,layout,effect	Build a cursor trail whose spacing stays constant at any hand speed, by emitting motes per unit of distance tr…	library/mengto/pointer-trail-emitter/SKILL.md
presentation-deck	-	copy	Structure a design presentation for a specific audience and decision	library/designer/presentation-deck/SKILL.md
pricing-page	-	layout,copy,landing	Use when designing or rewriting a high-converting SaaS pricing page (structure, plan design, copywriting, SEO/…	library/mengto/pricing-page/SKILL.md
product-proof-saas	-	landing	Create or redesign SaaS and AI product landing pages where a real workflow, interface, or deterministic demo i…	library/mengto/product-proof-saas/SKILL.md
progressive-blur	-	color,effect	Create a layered CSS progressive blur (top or bottom) using multiple backdrop-filter masks for depth and softn…	library/mengto/progressive-blur/SKILL.md
prototype-strategy	-	review	Choose prototype fidelity and method to match the design question and the decision at stake	library/designer/prototype-strategy/SKILL.md
readable-measure	-	type	Set line length and measure for comfortable reading across type sizes and breakpoints	library/designer/readable-measure/SKILL.md
research-repository	-	research	Build a repository that makes findings findable, reusable, and cumulative across teams	library/designer/research-repository/SKILL.md
responsive-design	-	layout	Design layouts and interactions that adapt across screen sizes and input methods	library/designer/responsive-design/SKILL.md
reveal-hover-effect	-	color,landing,media,effect	Build cursor-following spotlight reveals that expose a second aligned image through a soft radial mask	library/mengto/reveal-hover-effect/SKILL.md
scroll-world-storytelling	-	motion,scroll,3d,type,copy,style,landing,media,research	Turn an article, case study, brand narrative, product journey, or long-form story into a cinematic scroll-driv…	library/mengto/scroll-world-storytelling/SKILL.md
search-ux	-	misc	Design search — query input, zero results, refinement, and result presentation	library/designer/search-ux/SKILL.md
serial-position-effect	-	misc	Apply the Serial Position Effect — first and last items in a sequence are recalled best	library/designer/serial-position-effect/SKILL.md
service-blueprint	-	misc	Map service delivery across frontstage actions, backstage processes, and supporting systems	library/designer/service-blueprint/SKILL.md
shaders-cursor-ripples	-	3d,layout,copy,style,landing,media,effect	Add cursor-following fluid WebGPU distortion over an existing image with the Shaders library's ImageTexture an…	library/mengto/shaders-cursor-ripples/SKILL.md
ship-web-games	-	3d,review,game,ship	Package, deploy, and verify a playable Three.js or web game	library/mengto/ship-web-games/SKILL.md
skeuomorphic-ui	-	color,style	Create skeuomorphic web UI surfaces with layered gradients, stacked inner and outer shadows, reflective gradie…	library/mengto/skeuomorphic-ui/SKILL.md
solar-duotone-bold	-	misc	Use Iconify Solar Duotone Bold icon style.	library/mengto/solar-duotone-bold/SKILL.md
spacing-system	-	layout,game	Create a spacing scale from a base unit with rules for when each step applies	library/designer/spacing-system/SKILL.md
split-layout-technical	-	type,layout,perf,style	Create a technical split-screen design system with dual panels, fine frame lines, mono metadata, quiet editori…	library/mengto/split-layout-technical/SKILL.md
staggered-word-reveal	-	motion,copy,style,landing,effect	Create subtle editorial word-by-word text reveal animations where each word fades and rises into place once it…	library/mengto/staggered-word-reveal/SKILL.md
stakeholder-alignment	-	misc	Build alignment artifacts — responsibility matrices, decision rights, and communication plans	library/designer/stakeholder-alignment/SKILL.md
state-machine	-	motion	Model component behaviour as explicit states, events, and transitions	library/designer/state-machine/SKILL.md
summarize-interview	-	research	Turn one interview transcript into themes, supporting quotes, and action items	library/designer/summarize-interview/SKILL.md
survey-design	-	type,review,research	Design unbiased survey instruments — question wording, scales, and sampling — to measure attitudes at scale	library/designer/survey-design/SKILL.md
tailwindcss	-	type,color,layout	Use when designing/implementing UI with Tailwind CSS (layout, typography, responsive, theming, component patte…	library/mengto/tailwindcss/SKILL.md
team-workflow	-	misc	Design the team's operating rhythm — task management, collaboration rituals, and tooling	library/designer/team-workflow/SKILL.md
tech-green-dark-mode-modern	-	perf,style,effect	Create a modern dark-mode technical design system with matte-black surfaces, emerald signal accents, mono syst…	library/mengto/tech-green-dark-mode-modern/SKILL.md
technical-wireframe-info-layout	-	3d,layout,perf,style	Create a monochrome technical wireframe design system with exploded 3D structure, connector annotations, spars…	library/mengto/technical-wireframe-info-layout/SKILL.md
teslers-law	-	effect	Apply Tesler's Law — every process has irreducible complexity that someone must absorb	library/designer/teslers-law/SKILL.md
test-playable-web-games	-	layout,a11y,review,perf,game,ship	Test a playable browser game end to end with deterministic fixtures and real browser evidence	library/mengto/test-playable-web-games/SKILL.md
test-scenario	-	review,research	Write realistic usability task scenarios with success criteria and facilitation notes	library/designer/test-scenario/SKILL.md
theming-system	-	color,style,system	Design theming architecture — brand variants, dark mode, and high-contrast — mapped through token layers	library/designer/theming-system/SKILL.md
thinking-orbs	-	motion,a11y,effect	Add accessible animated AI loading and agent-status indicators with the React thinking-orbs library	library/mengto/thinking-orbs/SKILL.md
threejs-landscape	-	scroll,3d,color,layout,landing	Build a live Three.js landscape that stays quiet behind a subject — a noise heightfield on a polar grid so res…	library/mengto/threejs-landscape/SKILL.md
threejs-towers	-	motion,3d,perf,landing	Generate architecture procedurally in Three.js and film it assembling — a small geometry vocabulary that build…	library/mengto/threejs-towers/SKILL.md
threejs-weather	-	3d,landing	Put weather into a Three.js scene that reads as weather — rain anchored inside the frustum, a storm that is th…	library/mengto/threejs-weather/SKILL.md
tune-enemy-ai	-	layout,review,game	Build, debug, balance, or test combat enemy AI for playable action games	library/mengto/tune-enemy-ai/SKILL.md
typography-scale	-	type,review	Create a modular type scale with size, weight, and line-height relationships	library/designer/typography-scale/SKILL.md
unicorn-studio	-	motion,layout,perf	Use when embedding and customizing Unicorn Studio interactive animations on the web (embed, responsive sizing,…	library/mengto/unicorn-studio/SKILL.md
unsplash-asset-images	-	media	Use when you need to pick high-quality Unsplash images for product/design assets (avatars, headshots, portrait…	library/mengto/unsplash-asset-images/SKILL.md
usability-test-plan	-	copy,review,research	Design a usability study — research questions, methodology, participant criteria, metrics, and facilitation gu…	library/designer/usability-test-plan/SKILL.md
user-flow-diagram	-	motion,research,game	Diagram screen-level paths, decision points, and branch logic	library/designer/user-flow-diagram/SKILL.md
user-persona	-	motion,research	Build research-grounded personas with goals, frustrations, and behavioural patterns	library/designer/user-persona/SKILL.md
ux-writing	-	copy	Write interface copy — microcopy, error messages, empty states, and CTAs	library/designer/ux-writing/SKILL.md
vantajs	-	motion,3d,perf	Use when adding animated WebGL background effects with Vanta.js (setup, parameters, resizing, performance, int…	library/mengto/vantajs/SKILL.md
version-control-strategy	-	style,system,ship	Define version control for design files, components, and libraries — branching, naming, and release	library/designer/version-control-strategy/SKILL.md
visual-hierarchy	-	color,layout,review	Establish hierarchy through size, weight, colour, spacing, and position so the eye lands in the intended order	library/designer/visual-hierarchy/SKILL.md
von-restorff-effect	-	layout	Apply the Von Restorff Effect — the element that differs from its neighbours is the one remembered	library/designer/von-restorff-effect/SKILL.md
web-design-engineer	-	motion,review,landing,media	Build or redesign polished browser-rendered visual artifacts with HTML/CSS/JavaScript/React: pages, dashboards…	library/garden/web-design-engineer/SKILL.md
web-technique-to-skill	-	scroll,3d,layout,review,media,system	Turn a visual or interaction technique you already built into a reusable web-design skill, by isolating the on…	library/mengto/web-technique-to-skill/SKILL.md
web-video-presentation	-	media	把一篇文章或口播稿，做成"看起来像视频"的点击驱动 16:9 网页演示，可选合成口播音频。流程：原始文章 → **一次产出**口播稿 + outline 开发计划 → 用户**一次对齐** 5 件事（稿子 / outli…	library/garden/web-video-presentation/SKILL.md
webgl-3d-object	-	motion,3d,landing	Create a real 3D WebGL object with geometric mesh depth, physically based material, directional and ambient li…	library/mengto/webgl-3d-object/SKILL.md
webgl-laser	-	motion,3d,color,layout,copy,style,landing,effect	Create a fixed full-screen WebGL laser background effect with a thin white-hot vertical core, restrained brand…	library/mengto/webgl-laser/SKILL.md
wireframe-spec	-	layout,copy,perf	Specify wireframe layout — content priority, component placement, and annotation	library/designer/wireframe-spec/SKILL.md
write-like-meng-on-x	-	copy,review,perf,research	Write, rewrite, review, or continuously refine X/Twitter posts in Meng To's current voice using his deduplicat…	library/mengto/write-like-meng-on-x/SKILL.md
write-swift	-	copy,review,perf	How to write modern Swift well — modeling with value types, Swift 6 data-race safety and approachable concurre…	library/emilkowalski/write-swift/SKILL.md
x-bookmark-quote-posts	-	review	Check a user's latest X/Twitter bookmarks and turn recent saved posts into source-backed quote-post drafts cal…	library/mengto/x-bookmark-quote-posts/SKILL.md
zeigarnik-effect	-	motion	Apply the Zeigarnik Effect — incomplete tasks stay mentally active	library/designer/zeigarnik-effect/SKILL.md
